au_ict_raw,au_writers_raw,au_authors_raw,au_journo_raw,domestic_it_grads,total_it_grads,au_ict_index,au_writers_index,au_authors_index,au_journo_index,au_grad_index,au_ict_index_2020,us_software_index
6031.611110000001,438.6944458333333,28.027778333333334,410.66666749999996,5317.0,13365.0,100.0,100.0,100.0,100.0,100.0,111.76,
6212.166665833334,464.88889083333333,22.888890000000004,442.0000008333332,5408.0,14273.0,102.99,105.97,81.67,107.63,101.71,115.11,
6326.611111666668,443.5833324999999,27.749999166666665,415.8333333333333,5921.0,15530.0,104.89,101.11,99.01,101.26,111.36,117.23,
7198.861110000002,484.25000249999994,29.027779166666665,455.22222333333326,6302.0,19685.0,119.35,110.38,103.57,110.85,118.53,133.39,
7096.694445,475.86111000000005,37.16666583333333,438.6944441666667,6952.0,25349.0,117.66,108.47,132.61,106.82,130.75,131.5,
5396.9166675,382.74999916666667,38.24999916666666,344.5,8675.0,31737.0,89.48,87.25,136.47,83.89,163.16,100.0,100.0
8270.0833325,654.8055566666668,73.13888833333334,581.6666683333333,10599.0,33593.0,137.11,149.26,260.95,141.64,199.34,153.24,188.07
8916.083335000001,860.4444458333334,87.2222225,773.2222233333333,9847.0,27748.0,147.82,196.14,311.2,188.28,185.2,165.21,247.93
6594.527778333333,964.8888883333333,145.30555583333333,819.5833325,10256.0,27213.0,109.33,219.95,518.43,199.57,192.89,122.19,114.6
4793.083334166667,791.9444458333332,122.77777833333334,669.1666674999999,11615.0,35728.0,79.47,180.52,438.06,162.95,218.45,88.81,88.16
4223.8888916666665,705.6111116666667,98.77777833333333,606.8333333333334,,,70.03,160.84,352.43,147.77,,78.26,82.44
